pmid,lab_name,institution,country,city,latitude,longitude,bsl_level_inferred,pathogens,research_types,ppp_or_gof,confidence,source_pmid
40924481,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40924481
40919024,,National Institute of Allergy and Infectious Diseases,,,,,,IDP,experimental,False,0.9,40919024
40901926,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40901926
40901824,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40901824
40894567,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40894567
40872867,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40872867
40872863,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40872863
40868984,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40868984
40864723,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40864723
40865529,,National Institute of Allergy and Infectious Diseases,,,,,,MPXV,human; monkeypox,False,0.9,40865529
40852134,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,40852134
40838594,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40838594
40835030,,National Institute of Allergy and Infectious Diseases,,,,,,NiV,experimental,False,0.9,40835030
40816277,,National Institute of Allergy and Infectious Diseases,,,,,,H3-N terminus,experimental,False,0.9,40816277
40812207,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40812207
40804163,,National Institute of Allergy and Infectious Diseases,,,,,,STING-associated vasculopathy,experimental,False,0.9,40804163
40802690,,National Institute of Allergy and Infectious Diseases,,,,,,IAV,experimental,False,0.9,40802690
40795882,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40795882
40782819,,National Institute of Allergy and Infectious Diseases,,,,,,EV-D68,experimental,False,0.9,40782819
40779639,,National Institute of Allergy and Infectious Diseases,,,,,,IAV,experimental,False,0.9,40779639
40779451,,National Institute of Allergy and Infectious Diseases,,,,,,BCG,experimental,False,0.9,40779451
40768601,,National Institute of Allergy and Infectious Diseases,,,,,,A/H1N1,experimental,False,0.9,40768601
40766360,,National Institute of Allergy and Infectious Diseases,,,,,,H5 clade 2.3.4.4b,experimental,False,0.9,40766360
40751436,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40751436
40750617,,National Institute of Allergy and Infectious Diseases,,,,,,H1N1; H5N1,experimental,False,0.9,40750617
40721512,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40721512
40709330,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40709330
40707428,,National Institute of Allergy and Infectious Diseases,,,,,,MERS-CoV,merbecovirus,False,0.9,40707428
40701746,,National Institute of Allergy and Infectious Diseases,,,,,,SUDV,intranasal,False,0.9,40701746
40701496,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40701496
40687705,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,40687705
40680114,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,40680114
40675980,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,40675980
40632654,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40632654
